id,url,category,timestamp,status,source
1,http://mp3raid.com/music/krizz_kaliko.html,b,2025-01-15 10:02:00,unsafe,manual
2,bopsecrets.org/rexroth/cr/1.htm,b,2025-01-15 10:03:00,unsafe,manual
3,http://espn.go.com/nba/player/_/id/3457/brandon-rush,b,2025-01-15 10:04:00,unsafe,manual
4,http://yourbittorrent.com/?q=anthony-hamilton-soulife,b,2025-01-15 10:05:00,unsafe,manual
5,http://www.pashminaonline.com/pure-pashminas,b,2025-01-15 10:06:00,unsafe,manual
6,http://allmusic.com/album/crazy-from-the-heat-r16990,b,2025-01-15 10:07:00,unsafe,manual
7,http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,b,2025-01-15 10:08:00,unsafe,manual
8,http://www.szabadmunkaero.hu/cimoldal.html?start=12,b,2025-01-15 10:09:00,unsafe,manual
9,http://www.pashminaonline.com/pure-pashminas,b,2025-07-27 16:25:40,unsafe,blacklist
10,bopsecrets.org/rexroth/cr/1.htm,b,2025-07-27 16:55:37,unsafe,blacklist
11,http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,b,2025-07-27 16:56:23,unsafe,blacklist
12,http://larcadelcarnevale.com/catalogo/palloncini,b,2025-07-27 16:57:15,unsafe,scan
13,http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZ...,b,2025-07-28 01:41:44,unsafe,scan
14,https://log-test-unsafe.com,b,2025-07-28 02:49:02,unsafe,scan
15,corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,b,2025-07-28 02:52:22,unsafe,manual_blacklist
16,http://www.vnic.co/khach-hang.html,b,2025-07-28 02:53:42,unsafe,manual_blacklist
17,http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=...,b,2025-07-28 11:35:26,unsafe,manual_blacklist
18,cyndislist.com/us/pa/counties,b,2025-07-28 11:44:37,unsafe,manual_blacklist
19,http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,b,2025-07-30 12:19:30,unsafe,manual_blacklist
